Scenario;Country;Indicator;Energy_Type;2023;2030;2050;;;;
NZE;European Union;LCOE (USD/MWh);Wind onshore;60;55;30;;;;
NZE;European Union;LCOE (USD/MWh);Wind offshore;70;45;30;;;;
NZE;China;Capital costs (USD/kW);Nuclear;2800;2800;2500;;;;
NZE;China;Capital costs (USD/kW);Coal;800;800;800;;;;
NZE;China;Capital costs (USD/kW);Gas CCGT;560;560;560;;;;
NZE;China;Capital costs (USD/kW);Solar PV;670;400;270;;;;
NZE;China;Capital costs (USD/kW);Wind onshore;990;920;860;;;;
NZE;China;Capital costs (USD/kW);Wind offshore;2380;1600;1100;;;;
NZE;China;Capacity factor  (%);Nuclear;80;75;80;;;;
NZE;China;Capacity factor  (%);Coal;50;n.a.;n.a.;;;;
NZE;China;Capacity factor  (%);Gas CCGT;40;30;n.a.;;;;
NZE;China;Capacity factor  (%);Solar PV;13;13;13;;;;
NZE;China;Capacity factor  (%);Wind onshore;24;25;26;;;;
NZE;China;Capacity factor  (%);Wind offshore;32;37;40;;;;
NZE;China;Fuel, CO₂, O&M (USD/MWh);Nuclear;30;30;30;;;;
NZE;China;Fuel, CO₂, O&M (USD/MWh);Coal;80;120;180;;;;
NZE;China;Fuel, CO₂, O&M (USD/MWh);Gas CCGT;85;90;115;;;;
NZE;China;Fuel, CO₂, O&M (USD/MWh);Solar PV;10;10;5;;;;
NZE;China;Fuel, CO₂, O&M (USD/MWh);Wind onshore;10;10;10;;;;
NZE;China;Fuel, CO₂, O&M (USD/MWh);Wind offshore;20;15;10;;;;
NZE;China;LCOE (USD/MWh);Nuclear;75;80;70;;;;
NZE;China;LCOE (USD/MWh);Coal;100;n.a.;n.a.;;;;
NZE;China;LCOE (USD/MWh);Gas CCGT;100;115;n.a.;;;;
NZE;China;LCOE (USD/MWh);Solar PV;50;30;25;;;;
NZE;China;LCOE (USD/MWh);Wind onshore;45;40;35;;;;
NZE;China;LCOE (USD/MWh);Wind offshore;90;55;35;;;;
NZE;India;Capital costs (USD/kW);Nuclear;2800;2800;2800;;;;
NZE;India;Capital costs (USD/kW);Coal;1200;1200;1200;;;;
NZE;India;Capital costs (USD/kW);Gas CCGT;700;700;700;;;;
NZE;India;Capital costs (USD/kW);Solar PV;710;430;280;;;;
NZE;India;Capital costs (USD/kW);Wind onshore;1210;1130;1040;;;;
NZE;India;Capital costs (USD/kW);Wind offshore;2620;1740;1160;;;;
NZE;India;Capacity factor  (%);Nuclear;75;85;90;;;;
NZE;India;Capacity factor  (%);Coal;70;n.a.;n.a.;;;;
NZE;India;Capacity factor  (%);Gas CCGT;30;25;n.a.;;;;
NZE;India;Capacity factor  (%);Solar PV;20;21;22;;;;
NZE;India;Capacity factor  (%);Wind onshore;26;28;30;;;;
NZE;India;Capacity factor  (%);Wind offshore;33;36;39;;;;
NZE;India;Fuel, CO₂, O&M (USD/MWh);Nuclear;30;30;30;;;;
NZE;India;Fuel, CO₂, O&M (USD/MWh);Coal;40;105;200;;;;
NZE;India;Fuel, CO₂, O&M (USD/MWh);Gas CCGT;100;80;120;;;;
NZE;India;Fuel, CO₂, O&M (USD/MWh);Solar PV;5;5;5;;;;
NZE;India;Fuel, CO₂, O&M (USD/MWh);Wind onshore;15;10;10;;;;
NZE;India;Fuel, CO₂, O&M (USD/MWh);Wind offshore;25;15;10;;;;
NZE;India;LCOE (USD/MWh);Nuclear;75;75;70;;;;
NZE;India;LCOE (USD/MWh);Coal;60;n.a.;n.a.;;;;
NZE;India;LCOE (USD/MWh);Gas CCGT;130;115;n.a.;;;;
NZE;India;LCOE (USD/MWh);Solar PV;45;25;20;;;;
NZE;India;LCOE (USD/MWh);Wind onshore;60;50;45;;;;
NZE;India;LCOE (USD/MWh);Wind offshore;115;70;45;;;;
